Protein_group_ID,r_sq_DMSO,k_computed_DMSO,r_sq_CHX,k_computed_CHX,FC_k,Gene names
382,0.9870421853021598,0.0366718212712509,0.962521132566545,0.0231575275653756,1.5835810264167163,Nup155
387,0.9998474022497758,0.0502871220433008,0.997510912117212,0.0262161704866917,1.9181719186953106,Cd47
409,0.997048624956621,0.028576392474758,0.9757310864249372,0.0162185359560739,1.761958819967103,Srsf7
415,0.9262768341257088,0.0642585638627433,0.9930878756188032,0.0442455155438476,1.4523181179584774,Nedd4l
424,0.9981313590626272,0.0377786075783368,0.998189311680324,0.018042219545561,2.0939002256865686,Ostf1
431,0.9944378217543374,0.3005372545626313,0.9932093557034398,0.1943947301295283,1.546015441685989,Scd2;Scd1;Scd3;Scd4
437,0.9274194102731392,0.0365080393417407,0.986872340084449,0.0144828589992134,2.520775721404423,Nars
475,0.9972801663218972,0.0422478251082194,0.9985856945369812,0.0215308936033187,1.9621956193080377,Mtx1
483,0.9999993616979066,0.0568735507893638,0.996669112306221,0.024378328004053,2.3329553519793618,Obsl1
487,0.9444169770626162,0.0320434032454737,0.9681476179965792,0.0175200459248795,1.8289565782456183,Sfpq
507,0.9986399071897076,0.0308172208037768,0.999340380489048,0.0132303044987789,2.329290365661735,Tanc2
508,0.9910188108283762,0.0552513867418367,0.982169904119605,0.0251604821020043,2.1959589851195793,Gpatch8
547,0.9719115341314628,0.0287393835828536,0.9979139922588428,0.0183879185498256,1.5629492541517798,Map2k6
548,0.954639594233546,0.0336369733467707,0.921422113472606,0.0172925207998659,1.9451746645886092,Eftud2
582,0.9552512510991568,0.2205456004532793,0.9648319274548824,0.12102956348257,1.8222456902857544,Tpx2
584,0.9944529376634316,0.0484810261853895,0.9949409773782428,0.0352620339639039,1.374878891983862,Cd44
589,0.9379869007564468,0.0483036955300603,0.9144677052987064,0.0351105594918285,1.3757597779466408,Aqr
590,0.999997513953886,0.0579216350336444,0.992266641128996,0.028927585667549,2.0022975888589607,Ssfa2
600,0.9996226226308608,0.0441041350704953,0.9984596519847292,0.0273472824775434,1.6127428788111586,Nckap1
603,0.9735868222584174,0.0310612253043961,0.9930348449788516,0.0125828387704801,2.468538767044136,Gorasp2
670,0.9907173295459234,0.0284460094437947,0.9780637316857436,0.0136910798444871,2.077703860243637,Slfn9
675,0.9215014866977896,0.1352620169961005,0.987389577046487,0.0853409158667843,1.584960925510129,Jak1
738,0.9534910582485868,0.0363694831351893,0.9654976288197774,0.0175990735328048,2.066556689327783,Flna
755,0.9682609390493048,0.122285211482095,0.9932782461626154,0.0564996681835893,2.164352737165517,
821,0.9795564927937076,0.0395659275260471,0.996061332060578,0.026472957988783,1.4945790169278326,Hnrnpdl
860,0.9775671075793446,0.0460381088081151,0.9920357312706274,0.0285658007396585,1.6116512618601104,Drap1
868,0.9746395833835184,0.0896908205014109,0.9825332827470816,0.053577354680623,1.6740434654913794,Glyr1
873,0.994602601237125,0.0430999710145972,0.9347378147437062,0.0481102825132154,0.8958577826425792,Sf1
879,0.9947312706317848,0.0355231073827906,0.9785616792561942,0.0213347584426368,1.665034430940585,Acsl1
927,0.9947147530197497,0.0529546264420653,0.9619336731528964,0.0369684250767714,1.4324285206117315,Sumo2
933,0.9991891078471844,0.0298841280734722,0.9998381336786664,0.0127386608473686,2.3459395325408408,Anp32a
934,0.9792682508614649,0.0316387927970403,0.9846038021677238,0.0195486212305291,1.6184667155773609,Gls
935,0.98171805102503,0.0412032691868389,0.9726538475708808,0.0244708895203329,1.6837667119784525,Gls
958,0.9926082951152838,0.0741196024720442,0.996478849375616,0.0399744928063442,1.8541724301823026,Mroh1
978,0.9471148373871268,0.0407047610580861,0.9808960719578836,0.0219304653142233,1.8560828726094778,Diaph1;Diap1
985,0.9758144939254484,0.1576894852397621,0.9932773996664862,0.0874973836152876,1.8022194347330232,Ifrd1
995,0.9436768276798396,0.0353116497004158,0.9595351502900644,0.0184517762926774,1.9137263069046233,Ncapg
998,0.9571932625992712,0.1947296268034211,0.9703723261628108,0.1701095594443181,1.1447306514667794,Col6a3
1023,0.999283718028576,0.0773597664371382,0.9828853745410032,0.0397355702227683,1.9468643838112434,Rbms1;Rbms3
1043,0.9283476558877296,0.0376702591446277,0.9735802240696628,0.0188413515929542,1.9993395356368517,Sept7
1086,0.9868456377473536,0.0775387577295616,0.994861556985268,0.0442125767592772,1.7537715150992985,Kif23
1136,0.9320951750417552,0.0340625126770655,0.948726038777481,0.02172172998142,1.5681307476983355,Mars
