,Protein_group_ID,k_computed,r_sq
225,4172,0.03048774814744383,0.9476573543028913
226,1464,0.056678104467869764,0.9661638259210972
227,2125,0.036703485295555595,0.9470797309307639
228,983,0.050173579648363054,0.5422222945492896
229,3977,0.0735672921135896,0.06909720180304013
230,4103,0.037118065880683844,0.123500933381817
231,5073,0.036583896230510005,0.9765311417648662
232,3130,0.04246140869140855,0.9607772397475416
233,2975,0.05020861973831644,0.6822934370124278
234,1983,0.034894337609748714,0.45388527345137597
235,4523,0.030417782328671306,0.9468274522307297
236,4686,0.057464600176893206,0.9746909709792522
237,4883,0.0382599612510768,0.829706232001307
238,4189,0.052555425811290565,0.9953336533515987
239,4887,0.06085098431162368,0.9886971564978585
240,4703,0.038365667166768175,0.6572869929751388
241,4852,0.05821080597552795,0.4889834456588962
242,4087,0.04939244927328766,0.5835516679356916
243,2436,0.04116824742367426,0.9999992758186678
244,4678,0.04488720043224058,0.9889050059462672
245,3111,0.03291524116529352,0.4236530168173921
246,4625,0.02792064744853799,0.8977568563938559
247,3152,0.05453791576039902,0.9994282054957234
248,4106,0.042389750439151636,0.6233932837211911
249,4157,0.029898142317645867,0.9696237246964425
250,259,0.0480163004790472,0.9834199721296522
251,2678,0.06999190680081087,0.9756701060753065
252,4899,0.04981606118846621,0.9599606441599868
253,2454,0.04448390448911415,0.9524784310262713
254,1095,0.06340426075489823,0.8291641715920655
255,3335,0.02754871582363518,0.9746688387269118
256,3407,0.04605347137731011,0.6785850545189386
257,4091,0.03420246721545498,0.9982107614396248
258,675,0.13526201699610055,0.9215014866977895
259,1643,0.03359309031127146,0.9903849226409738
260,579,0.05217554439034119,0.49949378780592424
261,2180,0.02899484221248563,0.9954623816527607
262,966,0.06414774297619825,0.6895279330727179
263,2977,0.04126342686015435,0.9800476114020837
264,3351,0.04197595391157541,0.9008242024007547
265,1279,0.03535611737294456,0.9162142450161115
266,1240,0.0719023382656439,0.6666751622697439
267,4271,0.04253788399296549,0.9972518095745037
268,827,0.07168021341665788,-0.39628048884761924
269,1170,0.08980323687667702,0.9015741280068327
270,3004,0.06362787693771796,0.8285841547308609
271,991,0.09421398427701198,0.5005625430790253
272,717,0.02748205516285231,0.9411436474055292
273,2803,0.04079666715337164,0.8988820228922054
274,853,0.022034608560558444,0.555794495353744
275,1930,0.03156528127631105,0.9921139134239789
276,3457,0.08489633991394281,0.8168517379168918
277,4515,0.03385331235843233,0.18099949386347813
278,558,0.15419002842722998,0.4975864252175318
279,2844,0.03567450364884307,0.9945953642095197
280,571,0.04345178862649767,0.09179645384064161
281,4968,0.028827988284400002,0.9910966093770491
282,3952,0.027945613686368317,0.9974091455131782
283,1846,0.028613046349855776,0.9805365338040041
284,239,0.053920086217377906,0.9741367512988091
285,3682,0.0269070303584744,0.9999952060766183
286,4308,0.0349179139134196,0.9878353281214847
287,4716,0.0775128529847204,0.9333409203523527
288,4145,0.0334061000092837,0.9936375227165228
289,3527,0.05253565771996759,0.97698573828132
290,1733,0.023949568728181065,0.9783269655313921
291,2313,0.03725233334947349,0.9574656578137879
292,1508,0.03661620968297257,0.9975980204647155
293,1121,0.042072924464385125,0.9450034049390339
294,3256,0.04090952784103951,0.9492739798427735
295,2926,0.04485781457300775,0.8704380349133705
296,2888,0.0385062476857604,0.9289827743694403
297,354,0.04103439381204152,0.9552698772273445
298,48,0.05674137189340681,0.9981769203895202
299,375,0.09419818934123832,0.9820750874475962
300,348,0.04059252304356394,0.6350000563773563
301,2025,0.03675364194997238,0.9956227203045389
